run,n0,ring_size,ring_width,pa
1,50,19.01369,11.84876,146.83841
2,50,19.04921,12.15881,143.93242
3,50,19.04977,11.813,147.27234
4,50,18.96601,11.86626,147.43745
5,50,18.97848,11.86847,147.452
6,50,19.03215,11.89518,146.51656
7,50,18.99752,11.82495,147.7937
8,50,18.97074,11.82463,147.4247
9,50,18.94845,11.90483,147.12353
10,50,19.0183,11.88293,147.31144
11,50,18.99864,11.8621,147.24812
12,50,18.95441,11.89565,147.28872
13,50,19.00152,11.86354,147.33365
14,50,19.03537,11.88347,147.33021
15,50,18.96899,11.86902,147.12944
16,50,18.94433,11.86888,147.238
17,50,18.88008,11.86013,147.4947
18,50,19.01073,11.8784,146.83016
19,50,18.99729,11.81602,147.30253
20,50,19.00177,11.8739,147.36884
21,50,19.02901,11.86247,147.46802
22,50,19.017,11.88628,147.13447
23,50,19.03532,11.90601,147.07411
24,50,18.85638,11.84866,147.59102
25,50,18.94873,11.89947,147.12945
26,50,18.99768,11.89577,146.86658
27,50,18.98836,11.90239,146.83521
28,50,18.99162,11.90112,147.44114
29,50,18.91117,11.84551,146.62795
30,50,19.1015,11.83147,147.79127
31,50,18.9727,11.89037,147.44726
32,50,19.04156,11.9057,146.78771
33,50,18.98583,11.87551,147.54316
34,50,18.97932,11.87011,146.9833
35,50,18.93616,11.8602,147.32589
36,50,18.90141,11.91721,147.32049
37,50,18.99209,11.89598,147.34427
38,50,19.04209,11.8492,147.07411
39,50,18.94155,11.85386,147.52661
40,50,19.00045,11.83154,147.53438
41,50,19.01267,11.877,147.64543
42,50,18.99252,11.87535,147.18754
43,50,19.01389,11.88578,147.10942
44,50,18.98617,11.84818,147.49758
45,50,18.96599,11.88169,146.92084
46,50,19.00263,11.87187,147.16031
47,50,18.88647,11.90367,146.91497
48,50,19.01043,11.89504,147.29027
49,50,19.01613,11.85504,147.10076
50,50,18.98169,11.8693,147.14878
1,100,19.51661,11.63779,149.14256
2,100,19.49182,11.6505,149.05962
3,100,19.50369,11.65442,149.01564
4,100,19.56935,11.63661,149.18617
5,100,19.50887,11.63635,149.07031
6,100,19.52144,11.64089,149.04157
7,100,19.5841,11.56278,151.0931
8,100,19.49702,11.64281,148.90487
9,100,19.52301,11.62732,149.33484
10,100,19.44226,11.66897,149.12309
11,100,19.48387,11.64137,149.16651
12,100,19.50301,11.66166,148.83504
13,100,19.57698,11.5956,149.28206
14,100,19.47092,11.65736,148.91663
