Run,Resolution,ring_size,ring_width,position_angle
1,50,18.97409,11.83289,147.61745
2,50,19.11921,11.94932,147.08128
3,50,18.98608,11.87597,147.29652
4,50,19.01702,11.83689,148.11926
5,50,19.0421,11.86093,146.98541
1,100,19.5292,11.61846,149.16462
2,100,19.5305,11.67921,149.46778
3,100,19.49821,11.65585,149.18901
4,100,19.89783,11.81531,149.42767
5,100,19.52033,11.65445,149.09452
1,150,19.48075,11.39251,148.8761
2,150,19.52507,11.44675,147.80453
3,150,19.49847,11.46682,147.49428
4,150,19.54002,11.45942,147.97562
5,150,19.49865,11.42021,148.94061
1,200,19.72776,11.3044,146.37282
2,200,19.7353,11.33729,146.42945
3,200,19.78236,11.28716,147.22377
4,200,19.76999,11.30254,148.28465
5,200,21.31612,11.85954,146.69276
1,250,19.69912,11.19972,148.2808
2,250,19.73717,11.22829,148.16963
3,250,19.68181,11.22699,147.79198
4,250,19.68178,11.18298,147.64676
5,250,19.69244,11.14528,149.34667
1,300,19.77167,11.28221,146.95878
2,300,19.50043,11.39402,148.34145
3,300,19.63282,11.38418,148.7916
4,300,20.02555,11.48574,148.56087
5,300,19.64008,11.37827,148.26468
1,350,19.59958,11.34351,147.37372
2,350,19.64625,11.31217,148.16237
3,350,19.70041,11.24773,148.11852
4,350,19.67178,11.30441,148.09028
5,350,19.8396,11.25807,149.69934
1,400,19.7551,11.23203,148.2978
2,400,19.67695,11.25203,147.76126
3,400,19.68678,11.25337,147.97716
4,400,19.69887,11.24131,147.75904
5,400,19.68979,11.2378,148.10186
